ID;Label
D2-101;Human
D2-102;OpenAI
D2-103;OpenAI
D2-104;Anthropic
D2-105;Anthropic
D2-106;Anthropic
D2-107;OpenAI
D2-108;Anthropic
D2-109;Anthropic
D2-110;Human
D2-111;Anthropic
D2-112;Anthropic
D2-113;Human
D2-114;Anthropic
D2-115;OpenAI
D2-116;Anthropic
D2-117;OpenAI
D2-118;Anthropic
D2-119;OpenAI
D2-120;OpenAI
D2-121;Human
D2-122;OpenAI
D2-123;Human
D2-124;OpenAI
D2-125;OpenAI
D2-126;OpenAI
D2-127;Human
D2-128;Anthropic
D2-129;OpenAI
D2-130;Anthropic
D2-131;OpenAI
D2-132;Human
D2-133;Anthropic
D2-134;OpenAI
D2-135;Anthropic
D2-136;OpenAI
D2-137;OpenAI
D2-138;OpenAI
D2-139;Human
D2-140;OpenAI
D2-141;Anthropic
D2-142;Human
D2-143;Human
D2-144;OpenAI
D2-145;OpenAI
D2-146;Anthropic
D2-147;OpenAI
D2-148;Anthropic
D2-149;Human
D2-150;Anthropic
D3-1;Anthropic
D3-2;Human
D3-3;Anthropic
D3-4;OpenAI
D3-5;Anthropic
D3-6;Anthropic
D3-7;Anthropic
D3-8;Anthropic
D3-9;Anthropic
D3-10;OpenAI
D3-11;OpenAI
D3-12;Anthropic
D3-13;Anthropic
D3-14;OpenAI
D3-15;Anthropic
D3-16;Human
D3-17;OpenAI
D3-18;Human
D3-19;Anthropic
D3-20;Anthropic
D3-21;Human
D3-22;OpenAI
D3-23;OpenAI
D3-24;Human
D3-25;Human
D3-26;OpenAI
D3-27;OpenAI
D3-28;Anthropic
D3-29;OpenAI
D3-30;Anthropic
D3-31;Human
D3-32;Anthropic
D3-33;Anthropic
D3-34;OpenAI
D3-35;Human
D3-36;OpenAI
D3-37;OpenAI
D3-38;Anthropic
D3-39;Anthropic
D3-40;Anthropic
D3-41;Anthropic
D3-42;Human
D3-43;OpenAI
D3-44;Human
D3-45;Anthropic
D3-46;OpenAI
D3-47;OpenAI
D3-48;Anthropic
D3-49;OpenAI
D3-50;Anthropic
D3-51;OpenAI
D3-52;Anthropic
D3-53;OpenAI
D3-54;OpenAI
D3-55;OpenAI
D3-56;Anthropic
D3-57;OpenAI
D3-58;OpenAI
D3-59;OpenAI
D3-60;Anthropic
D3-61;Human
D3-62;Human
D3-63;Anthropic
D3-64;Human
D3-65;OpenAI
D3-66;Anthropic
D3-67;Human
D3-68;Human
D3-69;Human
D3-70;OpenAI
D3-71;Human
D3-72;Human
D3-73;Human
D3-74;Human
D3-75;Human
D3-76;Human
D3-77;Human
D3-78;OpenAI
D3-79;OpenAI
D3-80;OpenAI
D3-81;Human
D3-82;Anthropic
D3-83;OpenAI
D3-84;Human
D3-85;Human
D3-86;Human
D3-87;OpenAI
D3-88;OpenAI
D3-89;Human
D3-90;Anthropic
D3-91;Anthropic
D3-92;OpenAI
D3-93;Human
D3-94;OpenAI
D3-95;Human
D3-96;OpenAI
D3-97;OpenAI
D3-98;Human
D3-99;OpenAI
D3-100;OpenAI
