ID;Label
D2-126;OpenAI
D2-127;Human
D2-128;Anthropic
D2-129;OpenAI
D2-130;Anthropic
D2-131;OpenAI
D2-132;Human
D2-133;Anthropic
D2-134;OpenAI
D2-135;Anthropic
D2-136;OpenAI
D2-137;OpenAI
D2-138;OpenAI
D2-139;Human
D2-140;OpenAI
D2-141;Anthropic
D2-142;Human
D2-143;Human
D2-144;OpenAI
D2-145;OpenAI
D2-146;Anthropic
D2-147;OpenAI
D2-148;Anthropic
D2-149;Human
D2-150;Anthropic
D3-76;Human
D3-77;Human
D3-78;OpenAI
D3-79;OpenAI
D3-80;OpenAI
D3-81;Human
D3-82;Anthropic
D3-83;OpenAI
D3-84;Human
D3-85;Human
D3-86;Human
D3-87;OpenAI
D3-88;OpenAI
D3-89;Human
D3-90;Anthropic
D3-91;Anthropic
D3-92;OpenAI
D3-93;Human
D3-94;OpenAI
D3-95;Human
D3-96;OpenAI
D3-97;OpenAI
D3-98;Human
D3-99;OpenAI
D3-100;OpenAI
D4-1;Human
D4-2;OpenAI
D4-3;Anthropic
D4-4;OpenAI
D4-5;OpenAI
D4-6;OpenAI
D4-7;OpenAI
D4-8;OpenAI
D4-9;Human
D4-10;OpenAI
D4-11;Anthropic
D4-12;OpenAI
D4-13;OpenAI
D4-14;OpenAI
D4-15;OpenAI
D4-16;OpenAI
D4-17;Anthropic
D4-18;OpenAI
D4-19;OpenAI
D4-20;Anthropic
D4-21;Anthropic
D4-22;Anthropic
D4-23;Anthropic
D4-24;Anthropic
D4-25;OpenAI
D4-26;Anthropic
D4-27;Anthropic
D4-28;OpenAI
D4-29;Human
D4-30;OpenAI
D4-31;Anthropic
D4-32;Human
D4-33;Human
D4-34;Human
D4-35;Anthropic
D4-36;Human
D4-37;Anthropic
D4-38;Human
D4-39;OpenAI
D4-40;OpenAI
D4-41;Anthropic
D4-42;OpenAI
D4-43;Anthropic
D4-44;Anthropic
D4-45;Human
D4-46;OpenAI
D4-47;Anthropic
D4-48;Anthropic
D4-49;Human
D4-50;OpenAI
D4-51;OpenAI
D4-52;Human
D4-53;Human
D4-54;OpenAI
D4-55;Human
D4-56;Human
D4-57;Anthropic
D4-58;Anthropic
D4-59;Anthropic
D4-60;OpenAI
D4-61;OpenAI
D4-62;Anthropic
D4-63;Anthropic
D4-64;Anthropic
D4-65;Anthropic
D4-66;OpenAI
D4-67;Anthropic
D4-68;Anthropic
D4-69;OpenAI
D4-70;Anthropic
D4-71;Human
D4-72;Anthropic
D4-73;Anthropic
D4-74;OpenAI
D4-75;Anthropic
D4-76;OpenAI
D4-77;OpenAI
D4-78;Anthropic
D4-79;OpenAI
D4-80;OpenAI
D4-81;OpenAI
D4-82;OpenAI
D4-83;OpenAI
D4-84;Human
D4-85;Anthropic
D4-86;Anthropic
D4-87;OpenAI
D4-88;OpenAI
D4-89;OpenAI
D4-90;OpenAI
D4-91;OpenAI
D4-92;OpenAI
D4-93;OpenAI
D4-94;Anthropic
D4-95;OpenAI
D4-96;OpenAI
D4-97;Anthropic
D4-98;Anthropic
D4-99;OpenAI
D4-100;Anthropic
